id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,month
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1365614510.0,1364416134.0,279886478.8,684387485.6,258768505.664,355423061.905,96654556.24099997,92.4548076682581,18.9655120029532,0,True,True,False,3.0,03.2023
5,Образование,6215800341.0,6218262656.6,5717516050.5,1378657043.7,4427105743.7,1374916285.223,2608823198.627,1233906913.4039998,99.7286664951161,24.047440760621264,0,True,True,False,4.0,03.2023
6,Здравоохранение,2335291942.0,2336417550.0,2323420496.9,577621359.5,860540002.2,575581858.403,714505301.762,138923443.35899997,99.64691383664112,24.773038680297613,0,True,True,False,5.0,03.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5315337558.7,5300520642.0,1307412293.1,1681450142.5,1306950034.812,1366503314.422,59553279.609999895,99.96464326590477,24.657012453758878,0,True,True,False,6.0,03.2023
8,Жилищно-коммунальное хозяйство,1560204086.7,1576509440.2,1325290182.7,198111181.1,1165764670.8,194867026.754,614410593.053,419543566.29899997,98.36245772298817,14.70372521412627,0,True,True,False,7.0,03.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,756272199.1,758489371.2,167499804.7,589050455.6,161036893.088,368862116.58,207825223.49199998,96.14154080742043,21.23126561855769,0,True,True,False,8.0,03.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,206813806.4,194216392.0,30276519.1,182626679.0,28736671.906,93577649.418,64840977.511999995,94.914054720379,14.796213445258525,0,True,True,False,9.0,03.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1036195146.4,1018535622.1,291077321.7,823026229.8,288168148.206,433646231.794,145478083.58800006,99.00054958695877,28.292397629830525,0,True,True,False,10.0,03.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,210461490.9,223067747.7,14457629.2,62732434.6,14359024.868,37553524.048,23194499.18,99.31797716876015,6.43706901425804,0,True,True,False,11.0,03.2023
13,Транспорт и коммуникации,1474838899.8,1500913245.2,1416206302.0,236879601.9,1180452640.0,232324376.119,722406944.372,490082568.253,98.07698689778994,16.40469865095968,0,True,True,False,12.0,03.2023
